"","School Name","Non-Varsity Player Make %","Varsity Player Make %","Only Played in CC","Played in NCAA","Max. Number of Varsity Spots"
"1",UC San Diego,0.490566037735849,0.571428571428571,0,7,4
"2",Cal Poly Pomona,0.482758620689655,1,1,0,1
"3",CSU Northridge,0.736842105263158,1,1,1,2
"4",USC (California),0.736842105263158,1,0,2,2
"5",CSU Long Beach,0.5,0.666666666666667,0,0,0
"6",UC Santa Barbara,0.481481481481481,1,6,0,4
"7",Cal State Fullerton,0.722222222222222,1,2,0,2
"8",U of Redlands,1,0.571428571428571,0,0,0
"9",CSU San Marcos,0.583333333333333,1,1,0,1
"10",UC Riverside,0.333333333333333,1,0,0,0
"11",San Diego State U,0.6,1,0,0,0
"12",UC Los Angeles,0.267857142857143,0.666666666666667,0,0,0
