"","School Name","Non-Varsity Player Make %","Varsity Player Make %","Only Played in CC","Played in NCAA","Max. Number of Varsity Spots"
"1",UC San Diego,0.743589743589744,1,0,1,1
"2",Cal Poly Pomona,0.423076923076923,0.5,2,2,2
"3",CSU Northridge,0.353846153846154,0.571428571428571,7,0,4
"4",USC (California),0.787878787878788,1,2,2,4
"5",U of San Diego,0.411764705882353,1,0,1,1
"6",CSU Long Beach,0.785714285714286,0.5,4,0,2
"7",UC Santa Barbara,0.551020408163265,1,3,0,3
"8",Cal State Fullerton,0.891304347826087,1,3,1,4
"9",U of Redlands,1,0.5,2,2,2
"10",Occidental College,0.411764705882353,1,0,1,1
"11",Mt. St. Mary's U,0.928571428571429,1,1,1,2
"12",UC Riverside,1,1,2,0,2
"13",San Diego State U,0.521739130434783,0.666666666666667,2,4,4
